team,post_count,positive_posts,negative_posts,neutral_posts,performance
Betboom,19,5,3,11,0
Cloud9,8,4,0,4,0
ECLOT,12,3,2,7,0
FaZe Clan,7,4,1,2,1
Fnatic,12,4,4,4,1
GamerLegion,20,7,4,8,1
Natus Vincere,5,4,0,1,1
Nemiga,5,1,3,1,1
SAW,1,1,0,0,0
Rebels,0,0,0,0,0
