team,post_count,positive_posts,negative_posts,neutral_posts,performance,time_since_creation_days
Betboom,24,5,3,16,0,490
Cloud9,14,4,0,10,0,3776
ECLOT,18,4,2,12,0,3133
FaZe Clan,11,4,1,6,1,3239
Fnatic,19,5,5,9,1,7437
GamerLegion,30,7,5,17,1,2075
Natus Vincere,21,5,1,15,1,5464
Nemiga,8,1,3,4,1,2737
Rebels,3,0,0,3,0,325
SAW,6,1,0,5,0,1797
